CountryName,CountryCode,IndicatorName,Region,Year,CO2_kt,CO2_percapita,CO2_ktdollar
Australia,AUS,CO2 emissions (kt),East Asia & Pacific,1960,88202.351,8.582936643,0.442914262
Australia,AUS,CO2 emissions (kt),East Asia & Pacific,1961,90589.568,8.641569017,0.443868296
Australia,AUS,CO2 emissions (kt),East Asia & Pacific,1962,94912.961,8.835688047,0.459101582
Australia,AUS,CO2 emissions (kt),East Asia & Pacific,1963,101029.517,9.226439909,0.460094669
Australia,AUS,CO2 emissions (kt),East Asia & Pacific,1964,108979.573,9.759073431,0.463924633
Australia,AUS,CO2 emissions (kt),East Asia & Pacific,1965,120966.996,10.62232139,0.48588215
Australia,AUS,CO2 emissions (kt),East Asia & Pacific,1966,120332.605,10.32809244,0.472086752
Australia,AUS,CO2 emissions (kt),East Asia & Pacific,1967,129265.417,10.9556248,0.477064255
Australia,AUS,CO2 emissions (kt),East Asia & Pacific,1968,134622.904,11.21016771,0.472746218
Australia,AUS,CO2 emissions (kt),East Asia & Pacific,1969,142257.598,11.60055435,0.466681853
Australia,AUS,CO2 emissions (kt),East Asia & Pacific,1970,147618.752,11.80289054,0.451861022
Australia,AUS,CO2 emissions (kt),East Asia & Pacific,1971,152774.554,11.80911757,0.449640741
Australia,AUS,CO2 emissions (kt),East Asia & Pacific,1972,157486.649,11.95163155,0.446057124
Australia,AUS,CO2 emissions (kt),East Asia & Pacific,1973,170992.21,12.77968685,0.471973504
Australia,AUS,CO2 emissions (kt),East Asia & Pacific,1974,172356.334,12.55966873,0.456986936
Australia,AUS,CO2 emissions (kt),East Asia & Pacific,1975,175883.988,12.65989981,0.460128829
Australia,AUS,CO2 emissions (kt),East Asia & Pacific,1976,174244.839,12.41679178,0.444342431
Australia,AUS,CO2 emissions (kt),East Asia & Pacific,1977,187787.07,13.23189614,0.462247507
Australia,AUS,CO2 emissions (kt),East Asia & Pacific,1978,202015.03,14.06985862,0.492850087
Australia,AUS,CO2 emissions (kt),East Asia & Pacific,1979,205069.641,14.12909198,0.480858867
Australia,AUS,CO2 emissions (kt),East Asia & Pacific,1980,220746.066,15.02491601,0.502374554
Australia,AUS,CO2 emissions (kt),East Asia & Pacific,1981,230360.94,15.43250084,0.507322852
Australia,AUS,CO2 emissions (kt),East Asia & Pacific,1982,234119.615,15.42493181,0.498991909
Australia,AUS,CO2 emissions (kt),East Asia & Pacific,1983,225003.453,14.64008413,0.490452487
Australia,AUS,CO2 emissions (kt),East Asia & Pacific,1984,236594.84,15.2209753,0.49312725
Australia,AUS,CO2 emissions (kt),East Asia & Pacific,1985,241229.928,15.3084102,0.477711375
Australia,AUS,CO2 emissions (kt),East Asia & Pacific,1986,239964.813,14.98057315,0.456764067
Australia,AUS,CO2 emissions (kt),East Asia & Pacific,1987,256106.947,15.7469578,0.475362704
Australia,AUS,CO2 emissions (kt),East Asia & Pacific,1988,261145.405,15.79616778,0.458387683
Australia,AUS,CO2 emissions (kt),East Asia & Pacific,1989,277771.583,16.51986292,0.469445456
Australia,AUS,CO2 emissions (kt),East Asia & Pacific,1990,263600,15.44673046,0.430134789
Australia,AUS,CO2 emissions (kt),East Asia & Pacific,1991,264710,15.31532053,0.433671276
Australia,AUS,CO2 emissions (kt),East Asia & Pacific,1992,268360,15.33923978,0.437846293
Australia,AUS,CO2 emissions (kt),East Asia & Pacific,1993,272360,15.4163129,0.427158459
Australia,AUS,CO2 emissions (kt),East Asia & Pacific,1994,278670,15.60739289,0.420310116
Australia,AUS,CO2 emissions (kt),East Asia & Pacific,1995,289010,15.99214254,0.419794944
Australia,AUS,CO2 emissions (kt),East Asia & Pacific,1996,299590,16.36120365,0.418914719
Australia,AUS,CO2 emissions (kt),East Asia & Pacific,1997,306770,16.56693849,0.412588969
Australia,AUS,CO2 emissions (kt),East Asia & Pacific,1998,327660,17.51162418,0.421398773
Australia,AUS,CO2 emissions (kt),East Asia & Pacific,1999,333040,17.59695657,0.407636091
Australia,AUS,CO2 emissions (kt),East Asia & Pacific,2000,338810,17.68965697,0.399005071
Australia,AUS,CO2 emissions (kt),East Asia & Pacific,2001,344960,17.76953588,0.398552242
Australia,AUS,CO2 emissions (kt),East Asia & Pacific,2002,352890,17.95749921,0.392027621
Australia,AUS,CO2 emissions (kt),East Asia & Pacific,2003,351990,17.69202931,0.379690496
Australia,AUS,CO2 emissions (kt),East Asia & Pacific,2004,365270,18.14789789,0.378659246
Australia,AUS,CO2 emissions (kt),East Asia & Pacific,2005,369510,18.11785357,0.371161646
Australia,AUS,CO2 emissions (kt),East Asia & Pacific,2006,375060,18.12067891,0.366494626
Australia,AUS,CO2 emissions (kt),East Asia & Pacific,2007,385370,18.50285198,0.362628883
Australia,AUS,CO2 emissions (kt),East Asia & Pacific,2008,388500,18.28304124,0.352673544
Australia,AUS,CO2 emissions (kt),East Asia & Pacific,2009,394950,18.20742496,0.351716024
Australia,AUS,CO2 emissions (kt),East Asia & Pacific,2010,387350,17.58144496,0.337960911
Australia,AUS,CO2 emissions (kt),East Asia & Pacific,2011,385770,17.26811037,0.328492402
Australia,AUS,CO2 emissions (kt),East Asia & Pacific,2012,385770,16.96925656,0.316106822
Australia,AUS,CO2 emissions (kt),East Asia & Pacific,2013,379270,16.398646,0.302949667
Australia,AUS,CO2 emissions (kt),East Asia & Pacific,2014,369880,15.7558761,0.288150041
Australia,AUS,CO2 emissions (kt),East Asia & Pacific,2015,375970,15.7864494,0.286610026
Australia,AUS,CO2 emissions (kt),East Asia & Pacific,2016,383960,15.87207954,0.284809884
Australia,AUS,CO2 emissions (kt),East Asia & Pacific,2017,387200,15.7386474,0.280754158
Australia,AUS,CO2 emissions (kt),East Asia & Pacific,2018,386620,15.47551649,0.272302624
Brunei Darussalam,BRN,CO2 emissions (kt),East Asia & Pacific,1960,333.697,4.084068684,0
Brunei Darussalam,BRN,CO2 emissions (kt),East Asia & Pacific,1961,304.361,3.55728144,0
Brunei Darussalam,BRN,CO2 emissions (kt),East Asia & Pacific,1962,370.367,4.138918689,0
Brunei Darussalam,BRN,CO2 emissions (kt),East Asia & Pacific,1963,355.699,3.802640582,0
Brunei Darussalam,BRN,CO2 emissions (kt),East Asia & Pacific,1964,341.031,3.486347233,0
Brunei Darussalam,BRN,CO2 emissions (kt),East Asia & Pacific,1965,333.697,3.259078035,0
Brunei Darussalam,BRN,CO2 emissions (kt),East Asia & Pacific,1966,491.378,4.580588027,0
Brunei Darussalam,BRN,CO2 emissions (kt),East Asia & Pacific,1967,440.04,3.913345072,0
Brunei Darussalam,BRN,CO2 emissions (kt),East Asia & Pacific,1968,429.039,3.639100232,0
Brunei Darussalam,BRN,CO2 emissions (kt),East Asia & Pacific,1969,487.711,3.94600958,0
Brunei Darussalam,BRN,CO2 emissions (kt),East Asia & Pacific,1970,8210.413,63.38618853,0
Brunei Darussalam,BRN,CO2 emissions (kt),East Asia & Pacific,1971,7517.35,55.40826405,0
Brunei Darussalam,BRN,CO2 emissions (kt),East Asia & Pacific,1972,9460.86,66.61873746,0
Brunei Darussalam,BRN,CO2 emissions (kt),East Asia & Pacific,1973,9981.574,67.20874519,0
Brunei Darussalam,BRN,CO2 emissions (kt),East Asia & Pacific,1974,8184.744,52.78130381,1.156644403
Brunei Darussalam,BRN,CO2 emissions (kt),East Asia & Pacific,1975,7080.977,43.80843877,0.997118847
Brunei Darussalam,BRN,CO2 emissions (kt),East Asia & Pacific,1976,6024.881,35.82549517,0.70608818
Brunei Darussalam,BRN,CO2 emissions (kt),East Asia & Pacific,1977,6395.248,36.60346732,0.675726468
Brunei Darussalam,BRN,CO2 emissions (kt),East Asia & Pacific,1978,9541.534,52.6571818,0.944188633
Brunei Darussalam,BRN,CO2 emissions (kt),East Asia & Pacific,1979,7440.343,39.66152263,0.600725633
Brunei Darussalam,BRN,CO2 emissions (kt),East Asia & Pacific,1980,6882.959,35.50112956,0.597530454
Brunei Darussalam,BRN,CO2 emissions (kt),East Asia & Pacific,1981,1470.467,7.351342569,0.159224712
Brunei Darussalam,BRN,CO2 emissions (kt),East Asia & Pacific,1982,2093.857,10.16119749,0.21809711
Brunei Darussalam,BRN,CO2 emissions (kt),East Asia & Pacific,1983,2706.246,12.76091723,0.280477332
Brunei Darussalam,BRN,CO2 emissions (kt),East Asia & Pacific,1984,1917.841,8.790338992,0.197581212
Brunei Darussalam,BRN,CO2 emissions (kt),East Asia & Pacific,1985,2596.236,11.56761718,0.271518983
Brunei Darussalam,BRN,CO2 emissions (kt),East Asia & Pacific,1986,2299.209,9.956863289,0.247167119
Brunei Darussalam,BRN,CO2 emissions (kt),East Asia & Pacific,1987,3318.635,13.9693768,0.349729842
Brunei Darussalam,BRN,CO2 emissions (kt),East Asia & Pacific,1988,5716.853,23.39090035,0.595923322
Brunei Darussalam,BRN,CO2 emissions (kt),East Asia & Pacific,1989,6347.577,25.24329107,0.668854525
Brunei Darussalam,BRN,CO2 emissions (kt),East Asia & Pacific,1990,3920,15.15186654,0.408605353
Brunei Darussalam,BRN,CO2 emissions (kt),East Asia & Pacific,1991,3380,12.69683856,0.341572219
Brunei Darussalam,BRN,CO2 emissions (kt),East Asia & Pacific,1992,3590,13.10754761,0.346314506
Brunei Darussalam,BRN,CO2 emissions (kt),East Asia & Pacific,1993,3870,13.73879951,0.372191514
Brunei Darussalam,BRN,CO2 emissions (kt),East Asia & Pacific,1994,4140,14.3028896,0.386016607
Brunei Darussalam,BRN,CO2 emissions (kt),East Asia & Pacific,1995,4500,15.1458036,0.401596918
Brunei Darussalam,BRN,CO2 emissions (kt),East Asia & Pacific,1996,4710,15.46188694,0.408577936
Brunei Darussalam,BRN,CO2 emissions (kt),East Asia & Pacific,1997,5090,16.31608978,0.44813459
Brunei Darussalam,BRN,CO2 emissions (kt),East Asia & Pacific,1998,4310,13.5052564,0.381592936
Brunei Darussalam,BRN,CO2 emissions (kt),East Asia & Pacific,1999,4190,12.84432918,0.359981343
Brunei Darussalam,BRN,CO2 emissions (kt),East Asia & Pacific,2000,4430,13.29667493,0.370056333
Brunei Darussalam,BRN,CO2 emissions (kt),East Asia & Pacific,2001,4310,12.67509124,0.350416659
Brunei Darussalam,BRN,CO2 emissions (kt),East Asia & Pacific,2002,4360,12.5729215,0.341267605
Brunei Darussalam,BRN,CO2 emissions (kt),East Asia & Pacific,2003,5250,14.86010275,0.39933356
Brunei Darussalam,BRN,CO2 emissions (kt),East Asia & Pacific,2004,4920,13.68818754,0.37235474
Brunei Darussalam,BRN,CO2 emissions (kt),East Asia & Pacific,2005,4820,13.2014286,0.363378437
Brunei Darussalam,BRN,CO2 emissions (kt),East Asia & Pacific,2006,7220,19.49970561,0.521384719
Brunei Darussalam,BRN,CO2 emissions (kt),East Asia & Pacific,2007,6840,18.24160526,0.49318105
Brunei Darussalam,BRN,CO2 emissions (kt),East Asia & Pacific,2008,7220,19.02914464,0.530877506
Brunei Darussalam,BRN,CO2 emissions (kt),East Asia & Pacific,2009,7430,19.35389761,0.556131683
Brunei Darussalam,BRN,CO2 emissions (kt),East Asia & Pacific,2010,6860,17.65156934,0.500460674
Brunei Darussalam,BRN,CO2 emissions (kt),East Asia & Pacific,2011,7010,17.80602357,0.492941465
Brunei Darussalam,BRN,CO2 emissions (kt),East Asia & Pacific,2012,7130,17.86980854,0.496844432
Brunei Darussalam,BRN,CO2 emissions (kt),East Asia & Pacific,2013,7020,17.35844951,0.499805232
Brunei Darussalam,BRN,CO2 emissions (kt),East Asia & Pacific,2014,6970,17.00920986,0.509013212
Brunei Darussalam,BRN,CO2 emissions (kt),East Asia & Pacific,2015,5980,14.41262527,0.438434695
Brunei Darussalam,BRN,CO2 emissions (kt),East Asia & Pacific,2016,6410,15.26950316,0.481902072
Brunei Darussalam,BRN,CO2 emissions (kt),East Asia & Pacific,2017,6710,15.80753909,0.497841654
Brunei Darussalam,BRN,CO2 emissions (kt),East Asia & Pacific,2018,7140,16.64490862,0.529468486
China,CHN,CO2 emissions (kt),East Asia & Pacific,1960,780726.302,1.170381372,6.097095325
China,CHN,CO2 emissions (kt),East Asia & Pacific,1961,552066.85,0.836046901,5.927918945
China,CHN,CO2 emissions (kt),East Asia & Pacific,1962,440359.029,0.661428164,5.007875186
China,CHN,CO2 emissions (kt),East Asia & Pacific,1963,436695.696,0.640001899,4.502461314
China,CHN,CO2 emissions (kt),East Asia & Pacific,1964,436923.05,0.625646054,3.811817059
China,CHN,CO2 emissions (kt),East Asia & Pacific,1965,475972.933,0.665524211,3.55066029
China,CHN,CO2 emissions (kt),East Asia & Pacific,1966,522789.522,0.710891382,3.524539019
China,CHN,CO2 emissions (kt),East Asia & Pacific,1967,433234.048,0.574162147,3.099622736
China,CHN,CO2 emissions (kt),East Asia & Pacific,1968,468928.626,0.605451997,3.49843972
China,CHN,CO2 emissions (kt),East Asia & Pacific,1969,577237.138,0.725149509,3.682636262
China,CHN,CO2 emissions (kt),East Asia & Pacific,1970,771617.474,0.942934535,4.126351031
China,CHN,CO2 emissions (kt),East Asia & Pacific,1971,876633.02,1.042239697,4.378795901
China,CHN,CO2 emissions (kt),East Asia & Pacific,1972,931575.681,1.080676637,4.482453876
China,CHN,CO2 emissions (kt),East Asia & Pacific,1973,968542.708,1.098195691,4.324728813
China,CHN,CO2 emissions (kt),East Asia & Pacific,1974,988014.478,1.097367111,4.31206529
China,CHN,CO2 emissions (kt),East Asia & Pacific,1975,1145607.47,1.250124095,4.598841189
China,CHN,CO2 emissions (kt),East Asia & Pacific,1976,1196193.735,1.285283136,4.878503422
China,CHN,CO2 emissions (kt),East Asia & Pacific,1977,1310310.775,1.388842897,4.967847255
China,CHN,CO2 emissions (kt),East Asia & Pacific,1978,1462168.579,1.52920111,4.979604489
China,CHN,CO2 emissions (kt),East Asia & Pacific,1979,1494859.884,1.542675099,4.731737413
China,CHN,CO2 emissions (kt),East Asia & Pacific,1980,1467192.369,1.495250749,4.306762356
China,CHN,CO2 emissions (kt),East Asia & Pacific,1981,1451501.276,1.460431817,4.053459392
China,CHN,CO2 emissions (kt),East Asia & Pacific,1982,1580260.647,1.566739684,4.048018133
China,CHN,CO2 emissions (kt),East Asia & Pacific,1983,1667029.201,1.629055908,3.85508521
China,CHN,CO2 emissions (kt),East Asia & Pacific,1984,1814908.31,1.75044806,3.643551221
China,CHN,CO2 emissions (kt),East Asia & Pacific,1985,1966553.428,1.871054791,3.48053026
China,CHN,CO2 emissions (kt),East Asia & Pacific,1986,2068969.071,1.939434257,3.360985046
China,CHN,CO2 emissions (kt),East Asia & Pacific,1987,2209708.531,2.038410689,3.214844381
China,CHN,CO2 emissions (kt),East Asia & Pacific,1988,2369501.723,2.150905225,3.099480926
