CountryName,CountryCode,Region,IncomeGroup,CO2emissions,PopulationDensity,PopDenLog,PopDenLogNew
Qatar,QAT,Middle East & North Africa,High income,32.41563917,242.0959095,2.383987452,1.630908936
Kuwait,KWT,Middle East & North Africa,High income,21.62272431,232.1725028,2.365810783,1.539501334
United Arab Emirates,ARE,Middle East & North Africa,High income,20.7974984,135.6092087,2.132289182,1.982776928
Bahrain,BHR,Middle East & North Africa,High income,19.59297584,2012.102564,3.303650114,2.637135841
Brunei Darussalam,BRN,East Asia & Pacific,High income,16.64490862,81.39658444,1.910606181,1.257511574
Palau,PLW,East Asia & Pacific,High income,16.19116744,38.93695652,1.590362002,0.968694352
Canada,CAN,North America,High income,15.49702527,4.13415938,0.616387216,0.5533624
Australia,AUS,East Asia & Pacific,High income,15.47551649,3.24787091,0.511598759,0.097486785
Luxembourg,LUX,Europe & Central Asia,High income,15.33020808,250.1851852,2.398261589,1.135329284
Saudi Arabia,SAU,Middle East & North Africa,High income,15.26878053,15.67796147,1.195289593,0.034337449
United States,USA,North America,High income,15.24087458,35.73009646,1.553034189,0.030267838
Oman,OMN,Middle East & North Africa,High income,15.19212436,15.60412278,1.193239359,1.155063812
Trinidad and Tobago,TTO,Latin America & Caribbean,High income,12.77844012,270.9241715,2.432847754,2.009160029
Turkmenistan,TKM,Europe & Central Asia,Upper middle income,12.25964817,12.450582,1.095189653,0.438540699
"Korea, Rep.",KOR,East Asia & Pacific,High income,12.22459136,529.1902482,2.723611832,2.379018742
Estonia,EST,Europe & Central Asia,High income,12.103085,30.41124914,1.483034259,0.65008338
Kazakhstan,KAZ,Europe & Central Asia,Upper middle income,12.06196914,6.769808497,0.830576384,0.292332188
Russian Federation,RUS,Europe & Central Asia,Upper middle income,11.12661837,8.822067892,0.945570396,0.250635277
Czech Republic,CZE,Europe & Central Asia,High income,9.640704998,137.6933679,2.138913023,1.988187768
Libya,LBY,Middle East & North Africa,Upper middle income,8.825249137,3.795631245,0.579284013,0.272380628
Netherlands,NLD,Europe & Central Asia,High income,8.772823734,511.7797446,2.709083093,0.794965136
Japan,JPN,East Asia & Pacific,High income,8.74225771,347.1305898,2.540492886,2.023289775
Germany,DEU,Europe & Central Asia,High income,8.558389812,237.2940123,2.37528678,0.600192238
Singapore,SGP,East Asia & Pacific,High income,8.399134832,7952.99859,3.900530905,3.620978071
Poland,POL,Europe & Central Asia,High income,8.235472255,124.0315838,2.093532289,1.449233255
Belgium,BEL,Europe & Central Asia,High income,8.179711061,377.3795905,2.576778409,0.663217577
Finland,FIN,Europe & Central Asia,High income,8.04275205,18.14795012,1.258827577,0.624350327
