Year,GDP,Country
1960,1.384628173,World
1961,1.440342189,World
1962,1.545696874,World
1963,1.665140917,World
1964,1.824117368,World
1965,1.986368335,World
1966,2.155141191,World
1967,2.294158519,World
1968,2.476489967,World
1969,2.732228119,World
1970,2.98736765,World
1971,3.300427658,World
1972,3.805594219,World
1973,4.637933492,World
1974,5.345359783,World
1975,5.954411789,World
1976,6.479403913,World
1977,7.328611096,World
1978,8.632349575,World
1979,10.02841334,World
1980,11.29829191,World
1981,11.69524294,World
1982,11.58346592,World
1983,11.81503202,World
1984,12.25333166,World
1985,12.87462776,World
1986,15.21455813,World
1987,17.30778093,World
1988,19.35771453,World
1989,20.2080711,World
1990,22.76205265,World
1991,23.93211566,World
1992,25.43869714,World
1993,25.85464133,World
1994,27.76578027,World
1995,30.88398522,World
1996,31.56718778,World
1997,31.46154993,World
1998,31.40057979,World
1999,32.58276939,World
2000,33.65128641,World
2001,33.44717114,World
2002,34.72486315,World
2003,38.94777255,World
2004,43.88308309,World
2005,47.53525147,World
2006,51.52118481,World
2007,58.05852433,World
2008,63.7087392,World
2009,60.43672271,World
2010,66.16266229,World
2011,73.47985657,World
2012,75.17280976,World
2013,77.33190839,World
2014,79.46886449,World
2015,75.23360171,World
2016,76.41725293,World
2017,81.32672457,World
2018,86.34351425,World
2019,87.60777388,World
2020,84.70542588,World
1960,0.5433,United States
1961,0.5633,United States
1962,0.6051,United States
1963,0.6386,United States
1964,0.6858,United States
1965,0.7437,United States
1966,0.815,United States
1967,0.8617,United States
1968,0.9425,United States
1969,1.0199,United States
1970,1.073303,United States
1971,1.16485,United States
1972,1.27911,United States
1973,1.425376,United States
1974,1.545243,United States
1975,1.684904,United States
1976,1.873412,United States
1977,2.081826,United States
1978,2.351599,United States
1979,2.627334,United States
1980,2.857307,United States
1981,3.207042,United States
1982,3.343789,United States
1983,3.634038,United States
1984,4.037613,United States
1985,4.338979,United States
1986,4.579631,United States
1987,4.855215,United States
1988,5.236438,United States
1989,5.64158,United States
1990,5.963144,United States
1991,6.158129,United States
1992,6.520327,United States
1993,6.858559,United States
1994,7.287236,United States
1995,7.639749,United States
1996,8.073122,United States
1997,8.577554457,United States
1998,9.062818202,United States
1999,9.630664202,United States
2000,10.25234546,United States
2001,10.5818214,United States
2002,10.93641905,United States
2003,11.45824388,United States
2004,12.21372915,United States
2005,13.03664023,United States
2006,13.81461141,United States
2007,14.45185866,United States
2008,14.71284408,United States
2009,14.44893303,United States
2010,14.99205273,United States
2011,15.5425811,United States
2012,16.19700735,United States
2013,16.7848492,United States
2014,17.5271637,United States
2015,18.23830057,United States
2016,18.74507569,United States
2017,19.54297918,United States
2018,20.61186093,United States
2019,21.4332247,United States
2020,20.9366,United States
1960,0.059716468,China
1961,0.050056869,China
1962,0.047209359,China
1963,0.0507068,China
1964,0.059708343,China
1965,0.070436266,China
1966,0.076720286,China
1967,0.072881631,China
1968,0.070846535,China
1969,0.079705906,China
1970,0.092602973,China
1971,0.099800959,China
1972,0.113687586,China
1973,0.138544285,China
1974,0.144182133,China
1975,0.163431552,China
1976,0.153940455,China
1977,0.174938099,China
1978,0.149540753,China
1979,0.178280594,China
1980,0.191149212,China
1981,0.195866382,China
1982,0.2050897,China
1983,0.230686747,China
1984,0.259946511,China
1985,0.309488028,China
1986,0.3007581,China
1987,0.272972975,China
1988,0.312353631,China
1989,0.347768051,China
1990,0.360857913,China
1991,0.383373318,China
1992,0.426915713,China
1993,0.444731282,China
1994,0.56432467,China
1995,0.734547898,China
1996,0.863746718,China
1997,0.961603953,China
1998,1.029043098,China
1999,1.093997267,China
2000,1.21134687,China
2001,1.339395719,China
2002,1.470550015,China
2003,1.660287966,China
2004,1.955347005,China
2005,2.285965892,China
2006,2.752131773,China
2007,3.550342737,China
2008,4.594307033,China
2009,5.101703073,China
2010,6.087163875,China
2011,7.551500124,China
2012,8.532229987,China
2013,9.570406236,China
2014,10.47568292,China
2015,11.06155308,China
2016,11.23327654,China
2017,12.31040937,China
2018,13.89481755,China
2019,14.27993747,China
2020,14.7227307,China
