Year,China,United States,World
1960,5.971646763,54.33,138.4628173
1961,5.005686896,56.33,144.0342189
1962,4.720935901,60.51,154.5696874
1963,5.07067999,63.86,166.5140917
1964,5.970834349,68.58,182.4117368
1965,7.043626615,74.37,198.6368335
1966,7.672028597,81.5,215.5141191
1967,7.288163133,86.17,229.4158519
1968,7.084653506,94.25,247.6489967
1969,7.970590625,101.99,273.2228119
1970,9.260297343,107.3303,298.736765
1971,9.980095865,116.485,330.0427658
1972,11.36875863,127.911,380.5594219
1973,13.85442847,142.5376,463.7933492
1974,14.41821334,154.5243,534.5359783
1975,16.34315518,168.4904,595.4411789
1976,15.39404553,187.3412,647.9403913
1977,17.49380988,208.1826,732.8611096
1978,14.95407528,235.1599,863.2349575
1979,17.82805944,262.7334,1002.841334
1980,19.11492116,285.7307,1129.829191
1981,19.58663824,320.7042,1169.524294
1982,20.50896999,334.3789,1158.346592
1983,23.06867472,363.4038,1181.503202
1984,25.9946511,403.7613,1225.333166
1985,30.94880281,433.8979,1287.462776
1986,30.07581001,457.9631,1521.455813
1987,27.29729748,485.5215,1730.778093
1988,31.23536312,523.6438,1935.771453
1989,34.77680513,564.158,2020.80711
1990,36.08579126,596.3144,2276.205265
1991,38.33733181,615.8129,2393.211566
1992,42.69157127,652.0327,2543.869714
1993,44.47312824,685.8559,2585.464133
1994,56.432467,728.7236,2776.578027
1995,73.45478982,763.9749,3088.398522
1996,86.37467175,807.3122,3156.718778
1997,96.1603953,857.7554457,3146.154993
1998,102.9043098,906.2818202,3140.057979
1999,109.3997267,963.0664202,3258.276939
2000,121.134687,1025.234546,3365.128641
2001,133.9395719,1058.18214,3344.717114
2002,147.0550015,1093.641905,3472.486315
2003,166.0287966,1145.824388,3894.777255
2004,195.5347005,1221.372915,4388.308309
2005,228.5965892,1303.664023,4753.525147
2006,275.2131773,1381.461141,5152.118481
2007,355.0342737,1445.185866,5805.852433
2008,459.4307033,1471.284408,6370.87392
2009,510.1703073,1444.893303,6043.672271
2010,608.7163875,1499.205273,6616.266229
2011,755.1500124,1554.25811,7347.985657
2012,853.2229987,1619.700735,7517.280976
2013,957.0406236,1678.48492,7733.190839
2014,1047.568292,1752.71637,7946.886449
2015,1106.155308,1823.830057,7523.360171
2016,1123.327654,1874.507569,7641.725293
2017,1231.040937,1954.297918,8132.672457
2018,1389.481755,2061.186093,8634.351425
2019,1427.993747,2143.32247,8760.777388
2020,1472.27307,2093.66,8470.542588
